Brand,Rating,N_Reviews,Price,Screen_size,warranty,pixels,os,discount
SAMSUNG,4.4,208 ,"₹45,990",55,1,3840 x 2160,Tizen,34
Mi,4.3,"2,583 ","₹41,999",50,1,3840 x 2160,Google,30
Mi,4.4,59 ,"₹16,999",32,1,1366 x 768,Android,34
Gangnam,4,22 ,"₹16,599",43,1,1920 x 1080,Android,66
XElectron,4,2 ,"₹18,990",43,1,3840 x 2160,Android,45
LG,4.5,333 ,"₹49,990",55,2,3840 x 2160,WebOS,41
SAMSUNG,4.3,"1,503 ","₹29,990",43,1,3840 x 2160,Tizen,43
Dyanora,4.1,517 ,"₹19,999",43,1,3840 x 2160,WebOS,47
Cellecor,2.9,2 ,"₹16,199",40,2,1366 x 768,Android,37
Blaupunkt,4.6,"1,531 ","₹28,999",50,1,3840 x 2160,Google,30
SKYTRON,4,37 ,"₹28,999",55,1,3840 x 2160,WebOS,63
SONY,4.6,23 ,"₹60,790",50,1,3840 x 2160,Google,29
LG,4.4,585 ,"₹29,990",43,1,1920 x 1080,WebOS,34
Mi,4.3,"8,208 ","₹28,999",43,1,3840 x 2160,Google,32
Mi,4.4,"45,921 ","₹24,999",43,1,1920 x 1080,Google,30
Acer,4.3,"2,520 ","₹30,999",50,1,3840 x 2160,Google,38
SAMSUNG,4.4,"2,520 ","₹46,990",55,1,3840 x 2160,Tizen,33
Mi,4.4,"45,921 ","₹22,999",40,1,1920 x 1080,Google,23
BeethoSOL,4.1,180 ,"₹15,199",43,1,1920 x 1080,Android,69
Coocaa,4.3,643 ,"₹31,999",55,1,3840 x 2160,Android,56
ONIDA,4.2,25 ,"₹32,999",55,1,3840 x 2160,Google,28
SONY,4.6,6 ,"₹46,540",43,1,3840 x 2160,Google,22
TCL,4.3,35 ,"₹45,990",50,2,3840 x 2160,Google,60
XElectron,4,2 ,"₹18,990",43,1,3840 x 2160,Android,45
Gangnam,4,22 ,"₹16,599",43,1,1920 x 1080,Android,66
LG,3,0 ,"₹45,900",55,1,3840 x 2160,,36
KODAK,4.4,"6,156 ","₹43,999",65,1,3840 x 2160,Google,37
Dyanora,4.1,517 ,"₹19,999",43,1,3840 x 2160,WebOS,47
Cellecor,2.9,2 ,"₹16,199",40,2,1366 x 768,Android,37
SAMSUNG,4.3,"1,503 ","₹29,990",43,1,3840 x 2160,Tizen,43
Vu,4.4,"2,154 ","₹39,999",55,1,3840 x 2160,Google,38
Mi,4.3,"2,583 ","₹41,999",50,1,3840 x 2160,Google,30
Panasonic,4.2,438 ,"₹27,990",43,1,1366 x 768,Google,24
Cellecor,,,"₹21,499",43,2,1920 x 1080,Android,40
Cellecor,,,"₹16,999",40,2,1920 x 1080,Android,34
Vu,4.4,"2,154 ","₹55,999",65,1,3840 x 2160,Google,34
Vu,4.4,"2,154 ","₹29,999",43,1,3840 x 2160,Google,25
Mi,4.4,"45,921 ","₹24,999",43,1,1920 x 1080,Google,30
Mi,4.4,"45,921 ","₹22,999",40,1,1920 x 1080,Google,23
SONY,4.7,170 ,"₹54,990",50,1,3840 x 2160,Google,26
Compaq,3.8,51 ,"₹23,999",50,1,3840 x 2160,Android,56
KODAK,4.4,"6,156 ","₹29,999",55,1,3840 x 2160,Android,37
TCL,,,"₹37,999",55,2,3840 x 2160,Google,52
Mi,4.3,"8,208 ","₹28,999",43,1,3840 x 2160,Google,32
BeethoSOL,4.1,180 ,"₹15,199",43,1,1920 x 1080,Android,69
Mi,4.3,"2,583 ","₹47,999",55,1,3840 x 2160,Google,31
Sansui,4.4,42 ,"₹27,990",50,1,3840 x 2160,Android,38
XElectron,4,2 ,"₹18,990",43,1,3840 x 2160,Android,45
Gangnam,4,22 ,"₹16,599",43,1,1920 x 1080,Android,66
SONY,4.9,3 ,"₹83,590",55,1,3840 x 2160,Google,35
SAMSUNG,4.3,14 ,"₹16,490",32,1,1366 x 768,Tizen,27
ONIDA,,,"₹30,999",50,1,3840 x 2160,Google,29
KODAK,4.4,"6,156 ","₹27,999",50,1,3840 x 2160,Google,33
Dyanora,4.1,517 ,"₹19,999",43,1,3840 x 2160,WebOS,47
Cellecor,2.9,2 ,"₹16,199",40,2,1366 x 768,Android,37
KODAK,4.6,402 ,"₹35,999",55,1,3840 x 2160,Google,40
MOTOROLA,4.2,125 ,"₹49,999",65,1,3840 x 2160,Google,28
Cellecor,,,"₹21,499",43,2,1920 x 1080,Android,40
Cellecor,,,"₹16,999",40,2,1920 x 1080,Android,34
Thomson,4.5,"8,390 ","₹45,999",65,1,3840 x 2160,Google,34
Blaupunkt,4.6,"1,531 ","₹28,999",50,1,3840 x 2160,Google,30
ONIDA,4.5,6 ,"₹30,999",50,1,3840 x 2160,Google,29
Sansui,4.2,56 ,"₹37,499",55,1,3840 x 2160,Google,37
Mi,4.4,"45,921 ","₹24,999",43,1,1920 x 1080,Google,30
Mi,4.4,"45,921 ","₹22,999",40,1,1920 x 1080,Google,23
Hyundai,4.1,11 ,"₹29,990",43,1,3840 x 2160,WebOS,48
Vu,4.2,86 ,"₹20,490",43,1,1920 x 1080,Android,41
Mi,4.3,"8,208 ","₹28,999",43,1,3840 x 2160,Google,32
BeethoSOL,4.1,180 ,"₹15,199",43,1,1920 x 1080,Android,69
KODAK,4.4,"6,156 ","₹43,999",65,1,3840 x 2160,Google,37
Hisense,3.9,15 ,"₹36,999",50,2,3840 x 2160,Google,38
Vu,4.4,"2,154 ","₹39,999",55,1,3840 x 2160,Google,38
TOSHIBA,4.3,232 ,"₹59,999",65,2,3840 x 2160,Google,47
Gangnam,4,22 ,"₹16,599",43,1,1920 x 1080,Android,66
XElectron,4,2 ,"₹18,990",43,1,3840 x 2160,Android,45
LG,,,"₹15,555",32,1,366 x 768,,25
Mi,4.4,676 ,"₹1,44,999",75,1,3840 x 2160,Android,27
Dyanora,4.1,517 ,"₹19,999",43,1,3840 x 2160,WebOS,47
Cellecor,2.9,2 ,"₹16,199",40,2,1366 x 768,Android,37
Hisense,4.3,381 ,"₹43,999",55,2,3840 x 2160,Google,37
Hisense,4.2,307 ,"₹32,999",50,2,3840 x 2160,Google,39
Thomson,4.5,"8,390 ","₹45,999",65,1,3840 x 2160,Google,34
Mi,4.3,"2,583 ","₹46,999",55,1,3840 x 2160,Android,32
Cellecor,,,"₹21,499",43,2,1920 x 1080,Android,40
Cellecor,,,"₹16,999",40,2,1920 x 1080,Android,34
TOSHIBA,4.3,232 ,"₹59,999",65,2,3840 x 2160,Google,47
SONY,,,"₹1,89,990",55,2,3840 x 2160,Google,23
Mi,4.4,"45,921 ","₹24,999",43,1,1920 x 1080,Google,30
Mi,4.4,"45,921 ","₹22,999",40,1,1920 x 1080,Google,23
Haier,4.1,1 ,"₹32,999",43,1,3840 x 2160,Google,37
SAMSUNG,,,"₹53,990",55,1,3840 x 2160,Tizen,23
Infinix,4.2,55 ,"₹33,999",55,1,3840 x 2160,Android,43
KODAK,4.1,283 ,"₹31,999",55,1,3840 x 2160,Android,54
Mi,4.3,"8,208 ","₹28,999",43,1,3840 x 2160,Google,32
BeethoSOL,4.1,180 ,"₹15,199",43,1,1920 x 1080,Android,69
OnePlus,4.6,2 ,"₹15,690",32,1,1366 x 768,,34
Acer,4.5,125 ,"₹26,999",43,3,3840 x 2160,Android,27
Gangnam,4,22 ,"₹16,599",43,1,1920 x 1080,Android,66
XElectron,4,2 ,"₹18,990",43,1,3840 x 2160,Android,45
Thomson,4.5,"8,390 ","₹22,999",43,1,3840 x 2160,Android,42
SAMSUNG,4.6,0 ,"₹42,490",43,1,3840 x 2160,Tizen,34
Thomson,4.5,"8,390 ","₹24,999",50,1,3840 x 2160,Android,39
Mi,4.3,"8,208 ","₹61,999",65,1,3840 x 2160,Google,31
Dyanora,4.1,517 ,"₹19,999",43,1,3840 x 2160,WebOS,47
Cellecor,2.9,2 ,"₹16,199",40,2,1366 x 768,Android,37
SONY,4.6,23 ,"₹84,990",65,1,3840 x 2160,Google,39
LG,4.6,2 ,"₹25,999",32,1,1920 x 1080,,17
Cellecor,,,"₹21,499",43,2,1920 x 1080,Android,40
Cellecor,,,"₹16,999",40,2,1920 x 1080,Android,34
Hisense,4.3,381 ,"₹54,999",65,2,3840 x 2160,Google,44
Acer,4.3,"2,520 ","₹47,999",65,2,3840 x 2160,Android,39
Acer,4.4,4 ,"₹59,999",55,3,3840 x 2160,Android,39
TCL,4.2,4 ,"₹37,990",43,2,3840 x 2160,Google,38
Mi,4.3,"8,208 ","₹28,999",43,1,3840 x 2160,Google,32
Mi,4.4,"45,921 ","₹24,999",43,1,1920 x 1080,Google,30
SAMSUNG,4.3,"1,503 ","₹43,990",50,1,3840 x 2160,Tizen,35
SAMSUNG,4.4,"2,520 ","₹48,490",58,1,3840 x 2160,Tizen,40
Mi,4.4,"45,921 ","₹22,999",40,1,1920 x 1080,Google,23
BeethoSOL,4.1,180 ,"₹15,199",43,1,1920 x 1080,Android,69
LG,,,"₹69,990",65,1,3840 x 2160,,44
SENS,4.2,376 ,"₹22,999",43,1,3840 x 2160,Android,41
SAMSUNG,4.2,209 ,"₹58,990",43,1,3840 x 2160,Tizen,35
